id,latitude,biosample,longitude,accession,sample-desc,sample-name,sample-alias,last-update,geographic location (longitude),"geographic location (country and/or sea,region)",collection date,environmental package,geographic location (latitude),study
SRS5841707,42.48,SAMN13327010,3.14,SRS5841707,Metagenome or environmental sample from seawater metagenome,S74Euk_ATGTCA-BNV7B,S74Euk_ATGTCA-BNV7B,2024-07-29T09:14:54,3.14,France: Mediterranean sea: North West,2016-02-15,Metagenome or environmental,42.48,MGYS00006680
SRS5841705,42.48,SAMN13327008,3.14,SRS5841705,Metagenome or environmental sample from seawater metagenome,S72Euk_GGCCAA-BNV7B,S72Euk_GGCCAA-BNV7B,2024-07-29T09:14:40,3.14,France: Mediterranean sea: North West,2016-02-08,Metagenome or environmental,42.48,MGYS00006680
SRS5841704,42.48,SAMN13326945,3.14,SRS5841704,Metagenome or environmental sample from seawater metagenome,S9Euk_TGATGC-BNV7B,S9Euk_TGATGC-BNV7B,2024-07-29T09:14:26,3.14,France: Mediterranean sea: North West,2015-02-02,Metagenome or environmental,42.48,MGYS00006680
SRS5841695,42.48,SAMN13326997,3.14,SRS5841695,Metagenome or environmental sample from seawater metagenome,S61Euk_CGTTTC-BNV7B,S61Euk_CGTTTC-BNV7B,2024-07-29T09:14:13,3.14,France: Mediterranean sea: North West,2015-12-21,Metagenome or environmental,42.48,MGYS00006680
SRS5841696,42.48,SAMN13326995,3.14,SRS5841696,Metagenome or environmental sample from seawater metagenome,S59Euk_GAGGGC-BNV7B,S59Euk_GAGGGC-BNV7B,2024-07-29T09:13:59,3.14,France: Mediterranean sea: North West,2015-12-07,Metagenome or environmental,42.48,MGYS00006680
SRS5841689,42.48,SAMN13326991,3.14,SRS5841689,Metagenome or environmental sample from seawater metagenome,S55Euk_ATCGGG-BNV7B,S55Euk_ATCGGG-BNV7B,2024-07-29T09:13:46,3.14,France: Mediterranean sea: North West,2015-11-16,Metagenome or environmental,42.48,MGYS00006680
SRS5841691,42.48,SAMN13326989,3.14,SRS5841691,Metagenome or environmental sample from seawater metagenome,S53Euk_ACTGCG-BNV7B,S53Euk_ACTGCG-BNV7B,2024-07-29T09:13:32,3.14,France: Mediterranean sea: North West,2015-11-02,Metagenome or environmental,42.48,MGYS00006680
SRS5841687,42.48,SAMN13326943,3.14,SRS5841687,Metagenome or environmental sample from seawater metagenome,S7Euk_AGGCGC-BNV7B,S7Euk_AGGCGC-BNV7B,2024-07-29T09:13:14,3.14,France: Mediterranean sea: North West,2015-01-27,Metagenome or environmental,42.48,MGYS00006680
SRS5841686,42.48,SAMN13326987,3.14,SRS5841686,Metagenome or environmental sample from seawater metagenome,S51Euk_ATCGTT-BNV7B,S51Euk_ATCGTT-BNV7B,2024-07-29T09:13:00,3.14,France: Mediterranean sea: North West,2015-10-19,Metagenome or environmental,42.48,MGYS00006680
SRS5841682,42.48,SAMN13326985,3.14,SRS5841682,Metagenome or environmental sample from seawater metagenome,S49Euk_CTTAAA-BNV7B,S49Euk_CTTAAA-BNV7B,2024-07-29T09:12:34,3.14,France: Mediterranean sea: North West,2015-10-05,Metagenome or environmental,42.48,MGYS00006680
SRS5841685,42.48,SAMN13326984,3.14,SRS5841685,Metagenome or environmental sample from seawater metagenome,S48Euk_GCCGGT-BNV7B,S48Euk_GCCGGT-BNV7B,2024-07-29T09:12:18,3.14,France: Mediterranean sea: North West,2015-09-28,Metagenome or environmental,42.48,MGYS00006680
SRS5841677,42.48,SAMN13326942,3.14,SRS5841677,Metagenome or environmental sample from seawater metagenome,S6Euk_TCAGCG-BNV7B,S6Euk_TCAGCG-BNV7B,2024-07-29T09:12:04,3.14,France: Mediterranean sea: North West,2015-01-22,Metagenome or environmental,42.48,MGYS00006680
SRS5841675,42.48,SAMN13326977,3.14,SRS5841675,Metagenome or environmental sample from seawater metagenome,S41Euk_AGAAGT-BNV7B,S41Euk_AGAAGT-BNV7B,2024-07-29T09:11:50,3.14,France: Mediterranean sea: North West,2015-08-03,Metagenome or environmental,42.48,MGYS00006680
SRS5841673,42.48,SAMN13326974,3.14,SRS5841673,Metagenome or environmental sample from seawater metagenome,S38Euk_ACAGAC-BNV7B,S38Euk_ACAGAC-BNV7B,2024-07-29T09:11:35,3.14,France: Mediterranean sea: North West,2015-07-15,Metagenome or environmental,42.48,MGYS00006680
SRS5841671,42.48,SAMN13326973,3.14,SRS5841671,Metagenome or environmental sample from seawater metagenome,S37Euk_GTTCTT-BNV7B,S37Euk_GTTCTT-BNV7B,2024-07-29T09:11:22,3.14,France: Mediterranean sea: North West,2015-07-06,Metagenome or environmental,42.48,MGYS00006680
SRS5841669,42.48,SAMN13326969,3.14,SRS5841669,Metagenome or environmental sample from seawater metagenome,S33Euk_GCCCAC-BNV7B,S33Euk_GCCCAC-BNV7B,2024-07-29T09:11:08,3.14,France: Mediterranean sea: North West,2015-06-08,Metagenome or environmental,42.48,MGYS00006680
SRS5841664,42.48,SAMN13326941,3.14,SRS5841664,Metagenome or environmental sample from seawater metagenome,S5Euk_AAAGTA-BNV7B,S5Euk_AAAGTA-BNV7B,2024-07-29T09:10:54,3.14,France: Mediterranean sea: North West,2015-01-19,Metagenome or environmental,42.48,MGYS00006680
SRS5841660,42.48,SAMN13327222,3.14,SRS5841660,Metagenome or environmental sample from seawater metagenome,S139Pro_AGATAG-BFCG2,S139Pro_AGATAG-BFCG2,2024-07-29T09:10:41,3.14,France: Mediterranean sea: North West,2017-03-21,Metagenome or environmental,42.48,MGYS00006680
SRS5841656,42.48,SAMN13327221,3.14,SRS5841656,Metagenome or environmental sample from seawater metagenome,S138Pro_TTGTGA-BFCG2,S138Pro_TTGTGA-BFCG2,2024-07-29T09:10:26,3.14,France: Mediterranean sea: North West,2017-03-16,Metagenome or environmental,42.48,MGYS00006680
SRS5841658,42.48,SAMN13327220,3.14,SRS5841658,Metagenome or environmental sample from seawater metagenome,S137Pro_CCCCAT-BFCG2,S137Pro_CCCCAT-BFCG2,2024-07-29T09:10:11,3.14,France: Mediterranean sea: North West,2017-03-14,Metagenome or environmental,42.48,MGYS00006680
SRS5841657,42.48,SAMN13327219,3.14,SRS5841657,Metagenome or environmental sample from seawater metagenome,S136Pro_GGATCA-BFCG2,S136Pro_GGATCA-BFCG2,2024-07-29T09:09:57,3.14,France: Mediterranean sea: North West,2017-03-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841650,42.48,SAMN13327214,3.14,SRS5841650,Metagenome or environmental sample from seawater metagenome,S131Pro_CCGTCA-BFCG2,S131Pro_CCGTCA-BFCG2,2024-07-29T09:09:42,3.14,France: Mediterranean sea: North West,2017-02-21,Metagenome or environmental,42.48,MGYS00006680
SRS5841647,42.48,SAMN13327211,3.14,SRS5841647,Metagenome or environmental sample from seawater metagenome,S128Pro_ACCAGG-BFCG2,S128Pro_ACCAGG-BFCG2,2024-07-29T09:09:25,3.14,France: Mediterranean sea: North West,2017-02-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841645,42.48,SAMN13327209,3.14,SRS5841645,Metagenome or environmental sample from seawater metagenome,S126Pro_CGTCGC-BFCG2,S126Pro_CGTCGC-BFCG2,2024-07-29T09:09:11,3.14,France: Mediterranean sea: North West,2017-02-02,Metagenome or environmental,42.48,MGYS00006680
SRS5841644,42.48,SAMN13327207,3.14,SRS5841644,Metagenome or environmental sample from seawater metagenome,S124Pro_ATGTCA-BFCG2,S124Pro_ATGTCA-BFCG2,2024-07-29T09:08:54,3.14,France: Mediterranean sea: North West,2017-01-26,Metagenome or environmental,42.48,MGYS00006680
SRS5841642,42.48,SAMN13327206,3.14,SRS5841642,Metagenome or environmental sample from seawater metagenome,S123Pro_GACAGT-BFCG2,S123Pro_GACAGT-BFCG2,2024-07-29T09:08:42,3.14,France: Mediterranean sea: North West,2017-01-24,Metagenome or environmental,42.48,MGYS00006680
SRS5841640,42.48,SAMN13327204,3.14,SRS5841640,Metagenome or environmental sample from seawater metagenome,S121Pro_ACTTTT-BFCG2,S121Pro_ACTTTT-BFCG2,2024-07-29T09:08:29,3.14,France: Mediterranean sea: North West,2017-01-11,Metagenome or environmental,42.48,MGYS00006680
SRS5841637,42.48,SAMN13326964,3.14,SRS5841637,Metagenome or environmental sample from seawater metagenome,S28Euk_GCTTCG-BNV7B,S28Euk_GCTTCG-BNV7B,2024-07-29T09:08:14,3.14,France: Mediterranean sea: North West,2015-04-27,Metagenome or environmental,42.48,MGYS00006680
SRS5841632,42.48,SAMN13327197,3.14,SRS5841632,Metagenome or environmental sample from seawater metagenome,S114Pro_AGTGCT-BFCG2,S114Pro_AGTGCT-BFCG2,2024-07-29T09:08:00,3.14,France: Mediterranean sea: North West,2016-12-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841630,42.48,SAMN13327195,3.14,SRS5841630,Metagenome or environmental sample from seawater metagenome,S112Pro_CCCGTT-BFCG2,S112Pro_CCCGTT-BFCG2,2024-07-29T09:07:46,3.14,France: Mediterranean sea: North West,2016-12-01,Metagenome or environmental,42.48,MGYS00006680
SRS5841629,42.48,SAMN13327194,3.14,SRS5841629,Metagenome or environmental sample from seawater metagenome,S111Pro_CGTTTC-BFCG2,S111Pro_CGTTTC-BFCG2,2024-07-29T09:07:33,3.14,France: Mediterranean sea: North West,2016-11-22,Metagenome or environmental,42.48,MGYS00006680
SRS5841628,42.48,SAMN13327193,3.14,SRS5841628,Metagenome or environmental sample from seawater metagenome,S110Pro_TACAAG-BFCG2,S110Pro_TACAAG-BFCG2,2024-07-29T09:07:20,3.14,France: Mediterranean sea: North West,2016-11-15,Metagenome or environmental,42.48,MGYS00006680
SRS5841627,42.48,SAMN13326963,3.14,SRS5841627,Metagenome or environmental sample from seawater metagenome,S27Euk_AAGTAA-BNV7B,S27Euk_AAGTAA-BNV7B,2024-07-29T09:07:05,3.14,France: Mediterranean sea: North West,2015-04-20,Metagenome or environmental,42.48,MGYS00006680
SRS5841624,42.48,SAMN13327191,3.14,SRS5841624,Metagenome or environmental sample from seawater metagenome,S108Pro_ATAACG-BFCG2,S108Pro_ATAACG-BFCG2,2024-07-29T09:06:52,3.14,France: Mediterranean sea: North West,2016-11-02,Metagenome or environmental,42.48,MGYS00006680
SRS5841620,42.48,SAMN13327186,3.14,SRS5841620,Metagenome or environmental sample from seawater metagenome,S103Pro_ACTGCG-BFCG2,S103Pro_ACTGCG-BFCG2,2024-07-29T09:06:39,3.14,France: Mediterranean sea: North West,2016-09-20,Metagenome or environmental,42.48,MGYS00006680
SRS5841619,42.48,SAMN13327185,3.14,SRS5841619,Metagenome or environmental sample from seawater metagenome,S102Pro_GAGCAA-BFCG2,S102Pro_GAGCAA-BFCG2,2024-07-29T09:06:25,3.14,France: Mediterranean sea: North West,2016-09-13,Metagenome or environmental,42.48,MGYS00006680
SRS5841616,42.48,SAMN13327183,3.14,SRS5841616,Metagenome or environmental sample from seawater metagenome,S100Pro_TAAGGG-BFCG2,S100Pro_TAAGGG-BFCG2,2024-07-29T09:06:12,3.14,France: Mediterranean sea: North West,2016-07-25,Metagenome or environmental,42.48,MGYS00006680
SRS5841617,42.48,SAMN13327182,3.14,SRS5841617,Metagenome or environmental sample from seawater metagenome,S99Pro_CTTAAA-BFCG2,S99Pro_CTTAAA-BFCG2,2024-07-29T09:05:57,3.14,France: Mediterranean sea: North West,2016-07-18,Metagenome or environmental,42.48,MGYS00006680
SRS5841613,42.48,SAMN13327181,3.14,SRS5841613,Metagenome or environmental sample from seawater metagenome,S98Pro_GCCGGT-BFCG2,S98Pro_GCCGGT-BFCG2,2024-07-29T09:05:44,3.14,France: Mediterranean sea: North West,2016-06-27,Metagenome or environmental,42.48,MGYS00006680
SRS5841610,42.48,SAMN13327177,3.14,SRS5841610,Metagenome or environmental sample from seawater metagenome,S94Pro_GCGCCC-BFCG2,S94Pro_GCGCCC-BFCG2,2024-07-29T09:05:31,3.14,France: Mediterranean sea: North West,2016-05-23,Metagenome or environmental,42.48,MGYS00006680
SRS5841606,42.48,SAMN13327173,3.14,SRS5841606,Metagenome or environmental sample from seawater metagenome,S90Pro_AAACTC-BFCG2,S90Pro_AAACTC-BFCG2,2024-07-29T09:05:18,3.14,France: Mediterranean sea: North West,2016-04-21,Metagenome or environmental,42.48,MGYS00006680
SRS5841602,42.48,SAMN13327170,3.14,SRS5841602,Metagenome or environmental sample from seawater metagenome,S87Pro_GTTCTT-BFCG2,S87Pro_GTTCTT-BFCG2,2024-07-29T09:05:05,3.14,France: Mediterranean sea: North West,2016-04-11,Metagenome or environmental,42.48,MGYS00006680
SRS5841598,42.48,SAMN13327167,3.14,SRS5841598,Metagenome or environmental sample from seawater metagenome,S84Pro_AACCAT-BFCG2,S84Pro_AACCAT-BFCG2,2024-07-29T09:04:51,3.14,France: Mediterranean sea: North West,2016-03-29,Metagenome or environmental,42.48,MGYS00006680
SRS5841597,42.48,SAMN13327166,3.14,SRS5841597,Metagenome or environmental sample from seawater metagenome,S83Pro_GCCCAC-BFCG2,S83Pro_GCCCAC-BFCG2,2024-07-29T09:04:37,3.14,France: Mediterranean sea: North West,2016-03-25,Metagenome or environmental,42.48,MGYS00006680
SRS5841599,42.48,SAMN13327164,3.14,SRS5841599,Metagenome or environmental sample from seawater metagenome,S81Pro_CGGAAC-BFCG2,S81Pro_CGGAAC-BFCG2,2024-07-29T09:04:24,3.14,France: Mediterranean sea: North West,2016-03-17,Metagenome or environmental,42.48,MGYS00006680
SRS5841595,42.48,SAMN13327163,3.14,SRS5841595,Metagenome or environmental sample from seawater metagenome,S80Pro_GACTTT-BFCG2,S80Pro_GACTTT-BFCG2,2024-07-29T09:04:11,3.14,France: Mediterranean sea: North West,2016-03-14,Metagenome or environmental,42.48,MGYS00006680
SRS5841594,42.48,SAMN13326960,3.14,SRS5841594,Metagenome or environmental sample from seawater metagenome,S24Euk_TAAATG-BNV7B,S24Euk_TAAATG-BNV7B,2024-07-29T09:03:57,3.14,France: Mediterranean sea: North West,2015-03-29,Metagenome or environmental,42.48,MGYS00006680
SRS5841591,42.48,SAMN13327161,3.14,SRS5841591,Metagenome or environmental sample from seawater metagenome,S78Pro_GCTTCG-BFCG2,S78Pro_GCTTCG-BFCG2,2024-07-29T09:03:43,3.14,France: Mediterranean sea: North West,2016-03-07,Metagenome or environmental,42.48,MGYS00006680
SRS5841589,42.48,SAMN13327158,3.14,SRS5841589,Metagenome or environmental sample from seawater metagenome,S75Pro_CTTGAC-BFCG2,S75Pro_CTTGAC-BFCG2,2024-07-29T09:03:30,3.14,France: Mediterranean sea: North West,2016-02-18,Metagenome or environmental,42.48,MGYS00006680
SRS5841586,42.48,SAMN13327154,3.14,SRS5841586,Metagenome or environmental sample from seawater metagenome,S71Pro_CGTTAA-BFCG2,S71Pro_CGTTAA-BFCG2,2024-07-29T09:03:17,3.14,France: Mediterranean sea: North West,2016-02-04,Metagenome or environmental,42.48,MGYS00006680
SRS5841585,42.48,SAMN13327153,3.14,SRS5841585,Metagenome or environmental sample from seawater metagenome,S70Pro_GCACTG-BFCG2,S70Pro_GCACTG-BFCG2,2024-07-29T09:03:04,3.14,France: Mediterranean sea: North West,2016-02-01,Metagenome or environmental,42.48,MGYS00006680
SRS5841580,42.48,SAMN13327149,3.14,SRS5841580,Metagenome or environmental sample from seawater metagenome,S66Pro_TTGACT-BFCG2,S66Pro_TTGACT-BFCG2,2024-07-29T09:02:50,3.14,France: Mediterranean sea: North West,2016-01-18,Metagenome or environmental,42.48,MGYS00006680
SRS5841577,42.48,SAMN13327148,3.14,SRS5841577,Metagenome or environmental sample from seawater metagenome,S65Pro_CACTAA-BFCG2,S65Pro_CACTAA-BFCG2,2024-07-29T09:02:35,3.14,France: Mediterranean sea: North West,2016-01-14,Metagenome or environmental,42.48,MGYS00006680
SRS5841573,42.48,SAMN13327146,3.14,SRS5841573,Metagenome or environmental sample from seawater metagenome,S63Pro_AACGTC-BFCG2,S63Pro_AACGTC-BFCG2,2024-07-29T09:02:22,3.14,France: Mediterranean sea: North West,2016-01-07,Metagenome or environmental,42.48,MGYS00006680
SRS5841572,42.48,SAMN13327145,3.14,SRS5841572,Metagenome or environmental sample from seawater metagenome,S62Pro_GTGAAT-BFCG2,S62Pro_GTGAAT-BFCG2,2024-07-29T09:02:08,3.14,France: Mediterranean sea: North West,2016-01-04,Metagenome or environmental,42.48,MGYS00006680
SRS5841578,42.48,SAMN13327141,3.14,SRS5841578,Metagenome or environmental sample from seawater metagenome,S58Pro_AATCCG-BFCG2,S58Pro_AATCCG-BFCG2,2024-07-29T09:01:55,3.14,France: Mediterranean sea: North West,2015-12-03,Metagenome or environmental,42.48,MGYS00006680
SRS5841562,42.48,SAMN13327136,3.14,SRS5841562,Metagenome or environmental sample from seawater metagenome,S53Pro_CGAAGG-BFCG2,S53Pro_CGAAGG-BFCG2,2024-07-29T09:01:42,3.14,France: Mediterranean sea: North West,2015-11-02,Metagenome or environmental,42.48,MGYS00006680
SRS5841554,42.48,SAMN13327127,3.14,SRS5841554,Metagenome or environmental sample from seawater metagenome,S44Pro_GCTATC-BFCTJ,S44Pro_GCTATC-BFCTJ,2024-07-29T09:01:28,3.14,France: Mediterranean sea: North West,2015-08-24,Metagenome or environmental,42.48,MGYS00006680
SRS5841553,42.48,SAMN13327126,3.14,SRS5841553,Metagenome or environmental sample from seawater metagenome,S43Pro_GTCGTG-BFCTJ,S43Pro_GTCGTG-BFCTJ,2024-07-29T09:01:15,3.14,France: Mediterranean sea: North West,2015-08-17,Metagenome or environmental,42.48,MGYS00006680
SRS5841552,42.48,SAMN13327125,3.14,SRS5841552,Metagenome or environmental sample from seawater metagenome,S42Pro_TTTTTC-BFCTJ,S42Pro_TTTTTC-BFCTJ,2024-07-29T09:01:03,3.14,France: Mediterranean sea: North West,2015-08-10,Metagenome or environmental,42.48,MGYS00006680
SRS5841551,42.48,SAMN13327124,3.14,SRS5841551,Metagenome or environmental sample from seawater metagenome,S41Pro_AGGTTC-BFCTJ,S41Pro_AGGTTC-BFCTJ,2024-07-29T09:00:50,3.14,France: Mediterranean sea: North West,2015-08-03,Metagenome or environmental,42.48,MGYS00006680
SRS5841549,42.48,SAMN13326956,3.14,SRS5841549,Metagenome or environmental sample from seawater metagenome,S20Euk_GCACTG-BNV7B,S20Euk_GCACTG-BNV7B,2024-07-29T09:00:36,3.14,France: Mediterranean sea: North West,2015-03-11,Metagenome or environmental,42.48,MGYS00006680
SRS5841546,42.48,SAMN13327120,3.14,SRS5841546,Metagenome or environmental sample from seawater metagenome,S37Pro_GAGCTT-BFCTJ,S37Pro_GAGCTT-BFCTJ,2024-07-29T09:00:22,3.14,France: Mediterranean sea: North West,2015-07-06,Metagenome or environmental,42.48,MGYS00006680
SRS5841545,42.48,SAMN13327117,3.14,SRS5841545,Metagenome or environmental sample from seawater metagenome,S34Pro_CTGTGC-BFCTJ,S34Pro_CTGTGC-BFCTJ,2024-07-29T09:00:09,3.14,France: Mediterranean sea: North West,2015-06-15,Metagenome or environmental,42.48,MGYS00006680
SRS5841537,42.48,SAMN13326955,3.14,SRS5841537,Metagenome or environmental sample from seawater metagenome,S19Euk_CCAAGC-BNV7B,S19Euk_CCAAGC-BNV7B,2024-07-29T08:59:55,3.14,France: Mediterranean sea: North West,2015-03-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841531,42.48,SAMN13327107,3.14,SRS5841531,Metagenome or environmental sample from seawater metagenome,S24Pro_CCGACC-BFCTJ,S24Pro_CCGACC-BFCTJ,2024-07-29T08:59:41,3.14,France: Mediterranean sea: North West,2015-03-29,Metagenome or environmental,42.48,MGYS00006680
SRS5841532,42.48,SAMN13327105,3.14,SRS5841532,Metagenome or environmental sample from seawater metagenome,S22Pro_TAGGCT-BFCTJ,S22Pro_TAGGCT-BFCTJ,2024-07-29T08:59:28,3.14,France: Mediterranean sea: North West,2015-03-19,Metagenome or environmental,42.48,MGYS00006680
SRS5841527,42.48,SAMN13327104,3.14,SRS5841527,Metagenome or environmental sample from seawater metagenome,S21Pro_CCATTG-BFCTJ,S21Pro_CCATTG-BFCTJ,2024-07-29T08:59:13,3.14,France: Mediterranean sea: North West,2015-03-16,Metagenome or environmental,42.48,MGYS00006680
SRS5841529,42.48,SAMN13327102,3.14,SRS5841529,Metagenome or environmental sample from seawater metagenome,S19Pro_TAACTT-BFCTJ,S19Pro_TAACTT-BFCTJ,2024-07-29T08:59:00,3.14,France: Mediterranean sea: North West,2015-03-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841522,42.48,SAMN13327099,3.14,SRS5841522,Metagenome or environmental sample from seawater metagenome,S16Pro_GTTACC-BFCTJ,S16Pro_GTTACC-BFCTJ,2024-07-29T08:58:46,3.14,France: Mediterranean sea: North West,2015-02-26,Metagenome or environmental,42.48,MGYS00006680
SRS5841520,42.48,SAMN13327098,3.14,SRS5841520,Metagenome or environmental sample from seawater metagenome,S15Pro_ACTCGA-BFCTJ,S15Pro_ACTCGA-BFCTJ,2024-07-29T08:58:33,3.14,France: Mediterranean sea: North West,2015-02-23,Metagenome or environmental,42.48,MGYS00006680
SRS5841523,42.48,SAMN13327097,3.14,SRS5841523,Metagenome or environmental sample from seawater metagenome,S14Pro_AATTGC-BFCTJ,S14Pro_AATTGC-BFCTJ,2024-07-29T08:58:20,3.14,France: Mediterranean sea: North West,2015-02-19,Metagenome or environmental,42.48,MGYS00006680
SRS5841521,42.48,SAMN13327096,3.14,SRS5841521,Metagenome or environmental sample from seawater metagenome,S13Pro_TTAAAT-BFCTJ,S13Pro_TTAAAT-BFCTJ,2024-07-29T08:58:06,3.14,France: Mediterranean sea: North West,2015-02-16,Metagenome or environmental,42.48,MGYS00006680
SRS5841518,42.48,SAMN13327095,3.14,SRS5841518,Metagenome or environmental sample from seawater metagenome,S12Pro_CAGTCT-BFCTJ,S12Pro_CAGTCT-BFCTJ,2024-07-29T08:57:52,3.14,France: Mediterranean sea: North West,2015-02-12,Metagenome or environmental,42.48,MGYS00006680
SRS5841519,42.48,SAMN13327094,3.14,SRS5841519,Metagenome or environmental sample from seawater metagenome,S11Pro_TTGCCC-BFCTJ,S11Pro_TTGCCC-BFCTJ,2024-07-29T08:57:40,3.14,France: Mediterranean sea: North West,2015-02-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841516,42.48,SAMN13327093,3.14,SRS5841516,Metagenome or environmental sample from seawater metagenome,S10Pro_ACAGTT-BFCTJ,S10Pro_ACAGTT-BFCTJ,2024-07-29T08:57:26,3.14,France: Mediterranean sea: North West,2015-02-04,Metagenome or environmental,42.48,MGYS00006680
SRS5841511,42.48,SAMN13327091,3.14,SRS5841511,Metagenome or environmental sample from seawater metagenome,S8Pro_ATAAGA-BFCTJ,S8Pro_ATAAGA-BFCTJ,2024-07-29T08:57:14,3.14,France: Mediterranean sea: North West,2015-01-29,Metagenome or environmental,42.48,MGYS00006680
SRS5841514,42.48,SAMN13327090,3.14,SRS5841514,Metagenome or environmental sample from seawater metagenome,S7Pro_TGCCTT-BFCTJ,S7Pro_TGCCTT-BFCTJ,2024-07-29T08:57:00,3.14,France: Mediterranean sea: North West,2015-01-27,Metagenome or environmental,42.48,MGYS00006680
SRS5841515,42.48,SAMN13327088,3.14,SRS5841515,Metagenome or environmental sample from seawater metagenome,S5Pro_AACTAG-BFCTJ,S5Pro_AACTAG-BFCTJ,2024-07-29T08:56:47,3.14,France: Mediterranean sea: North West,2015-01-19,Metagenome or environmental,42.48,MGYS00006680
SRS5841509,42.48,SAMN13327087,3.14,SRS5841509,Metagenome or environmental sample from seawater metagenome,S4Pro_TCCCCA-BFCTJ,S4Pro_TCCCCA-BFCTJ,2024-07-29T08:56:33,3.14,France: Mediterranean sea: North West,2015-01-15,Metagenome or environmental,42.48,MGYS00006680
SRS5841502,42.48,SAMN13327074,3.14,SRS5841502,Metagenome or environmental sample from seawater metagenome,S138Euk_TGCAGT-BNV7B,S138Euk_TGCAGT-BNV7B,2024-07-29T08:56:20,3.14,France: Mediterranean sea: North West,2017-03-16,Metagenome or environmental,42.48,MGYS00006680
SRS5841500,42.48,SAMN13327072,3.14,SRS5841500,Metagenome or environmental sample from seawater metagenome,S136Euk_TGACCT-BNV7B,S136Euk_TGACCT-BNV7B,2024-07-29T08:56:06,3.14,France: Mediterranean sea: North West,2017-03-09,Metagenome or environmental,42.48,MGYS00006680
SRS5841496,42.48,SAMN13327069,3.14,SRS5841496,Metagenome or environmental sample from seawater metagenome,S133Euk_AATTCT-BNV7B,S133Euk_AATTCT-BNV7B,2024-07-29T08:55:52,3.14,France: Mediterranean sea: North West,2017-02-28,Metagenome or environmental,42.48,MGYS00006680
