id,latitude,biosample,longitude,accession,sample-desc,sample-name,sample-alias,last-update,geographic location (longitude),"geographic location (country and/or sea,region)",collection date,environmental package,geographic location (latitude),study
SRS5841737,42.48,SAMN13327036,3.14,SRS5841737,Metagenome or environmental sample from seawater metagenome,S100Euk_CGCTCT-BNV7B,S100Euk_CGCTCT-BNV7B,2024-07-29T09:17:14,3.14,France: Mediterranean sea: North West,2016-07-25,Metagenome or environmental,42.48,MGYS00006680
SRS5841734,42.48,SAMN13327035,3.14,SRS5841734,Metagenome or environmental sample from seawater metagenome,S99Euk_ACGATC-BNV7B,S99Euk_ACGATC-BNV7B,2024-07-29T09:17:00,3.14,France: Mediterranean sea: North West,2016-07-18,Metagenome or environmental,42.48,MGYS00006680
SRS5841731,42.48,SAMN13327033,3.14,SRS5841731,Metagenome or environmental sample from seawater metagenome,S97Euk_CTACTA-BNV7B,S97Euk_CTACTA-BNV7B,2024-07-29T09:16:46,3.14,France: Mediterranean sea: North West,2016-06-20,Metagenome or environmental,42.48,MGYS00006680
SRS5841733,42.48,SAMN13327030,3.14,SRS5841733,Metagenome or environmental sample from seawater metagenome,S94Euk_AAAGCG-BNV7B,S94Euk_AAAGCG-BNV7B,2024-07-29T09:16:33,3.14,France: Mediterranean sea: North West,2016-05-23,Metagenome or environmental,42.48,MGYS00006680
SRS5841726,42.48,SAMN13327027,3.14,SRS5841726,Metagenome or environmental sample from seawater metagenome,S91Euk_TTACTC-BNV7B,S91Euk_TTACTC-BNV7B,2024-07-29T09:16:19,3.14,France: Mediterranean sea: North West,2016-04-25,Metagenome or environmental,42.48,MGYS00006680
SRS5841719,42.48,SAMN13327021,3.14,SRS5841719,Metagenome or environmental sample from seawater metagenome,S85Euk_CAGCGT-BNV7B,S85Euk_CAGCGT-BNV7B,2024-07-29T09:16:05,3.14,France: Mediterranean sea: North West,2016-03-31,Metagenome or environmental,42.48,MGYS00006680
SRS5841718,42.48,SAMN13327019,3.14,SRS5841718,Metagenome or environmental sample from seawater metagenome,S83Euk_GTCGGC-BNV7B,S83Euk_GTCGGC-BNV7B,2024-07-29T09:15:51,3.14,France: Mediterranean sea: North West,2016-03-25,Metagenome or environmental,42.48,MGYS00006680
SRS5841717,42.48,SAMN13326946,3.14,SRS5841717,Metagenome or environmental sample from seawater metagenome,S10Euk_ATCTAT-BNV7B,S10Euk_ATCTAT-BNV7B,2024-07-29T09:15:37,3.14,France: Mediterranean sea: North West,2015-02-04,Metagenome or environmental,42.48,MGYS00006680
SRS5841715,42.48,SAMN13327016,3.14,SRS5841715,Metagenome or environmental sample from seawater metagenome,S80Euk_GGACTT-BNV7B,S80Euk_GGACTT-BNV7B,2024-07-29T09:15:23,3.14,France: Mediterranean sea: North West,2016-03-14,Metagenome or environmental,42.48,MGYS00006680
SRS5841711,42.48,SAMN13327014,3.14,SRS5841711,Metagenome or environmental sample from seawater metagenome,S78Euk_ACCAGG-BNV7B,S78Euk_ACCAGG-BNV7B,2024-07-29T09:15:08,3.14,France: Mediterranean sea: North West,2016-03-07,Metagenome or environmental,42.48,MGYS00006680
