ref_code,batch,sample_type,seq_run_ro_crate_fname,forward_read_fname,backward_read_fname,run_status,version,date_started,who,system_run,output_loc,output_size
EMOBON00031,001,filters,DBB_AACFOSDA_4_HMGW5DSX3.UDI233.zip,DBB_AACFOSDA_4_1_HMGW5DSX3.UDI233_clean.fastq.gz,DBB_AACFOSDA_4_2_HMGW5DSX3.UDI233_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2025-01-06,CCMAR,UID,,
EMOBON00032,001,filters,,DBB_AACGOSDA_4_1_HMGW5DSX3.UDI245_clean.fastq.gz,DBB_AACGOSDA_4_2_HMGW5DSX3.UDI245_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2025-01-06,CCMAR,UID,,
EMOBON00005,001,filters,,DBB_AABEOSDA_1_1_HMNJKDSX3.UDI231_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00006,001,filters,,DBB_AABFOSDA_4_1_HMNJKDSX3.UDI228_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00003,001,filters,DBB_AABCOSDA_4_HMGW5DSX3.UDI207.zip,DBB_AABCOSDA_4_1_HMGW5DSX3.UDI207_clean.fastq.gz,DBB_AABCOSDA_4_2_HMGW5DSX3.UDI207_clean.fastq.gz,COMPLETED,1.0,2023-08-14,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00004,001,filters,DBB_AABDOSDA_4_HMGW5DSX3.UDI219.zip,DBB_AABDOSDA_4_1_HMGW5DSX3.UDI219_clean.fastq.gz,DBB_AABDOSDA_4_2_HMGW5DSX3.UDI219_clean.fastq.gz,COMPLETED,1.0,2023-08-14,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00071,001,filters,,DBB_AABKOSDA_1_1_HMNJKDSX3.UDI267_clean.fastq.gz ,,COMPLETED,develop (3cf3a7d),2016-12-17,CCMAR,CETA,,
EMOBON00072,001,filters,,DBB_AABLOSDA_1_1_HMNJKDSX3.UDI279_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-17,CCMAR,CETA ceta3,,
EMOBON00068,001,filters,DBB_AABIOSDA_4_HMGW5DSX3.UDI238.zip,DBB_AABIOSDA_4_1_HMGW5DSX3.UDI238_clean.fastq.gz,DBB_AABIOSDA_4_2_HMGW5DSX3.UDI238_clean.fastq.gz,COMPLETED,1.0,2023-08-14,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00079,001,filters_blank,,,,,,,,,,
EMOBON00076,001,filters_blank,,,,,,,,,,
EMOBON00080,001,filters,DBB_AAAMOSDA_4_HMGW5DSX3.UDI241.zip,DBB_AAAMOSDA_4_1_HMGW5DSX3.UDI241_clean.fastq.gz,DBB_AAAMOSDA_4_2_HMGW5DSX3.UDI241_clean.fastq.gz        ,COMPLETED,1.0,2023-06-27,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00081,001,filters,DBB_AAANOSDA_4_HMGW5DSX3.UDI253.zip,DBB_AAANOSDA_4_1_HMGW5DSX3.UDI253_clean.fastq.gz,DBB_AAANOSDA_4_2_HMGW5DSX3.UDI253_clean.fastq.gz,COMPLETED,1.0,2024-09-01,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00082,001,filters,DBB_AAAOOSDA_4_HMGW5DSX3.UDI226.zip,DBB_AAAOOSDA_4_1_HMGW5DSX3.UDI226_clean.fastq.gz,DBB_AAAOOSDA_4_2_HMGW5DSX3.UDI226_clean.fastq.gz,COMPLETED,1.0,2023-08-09,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00083,001,filters,DBB_AAAPOSDA_4_HMGW5DSX3.UDI265.zip,DBB_AAAPOSDA_4_1_HMGW5DSX3.UDI265_clean.fastq.gz,DBB_AAAPOSDA_4_2_HMGW5DSX3.UDI265_clean.fastq.gz,COMPLETED,1.0,2023-07-25,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00056,001,filters,DBB_AABAOSDA_4_HMGW5DSX3.UDI278.zip,DBB_AABAOSDA_4_1_HMGW5DSX3.UDI278_clean.fastq.gz,DBB_AABAOSDA_4_2_HMGW5DSX3.UDI278_clean.fastq.gz,COMPLETED,1.0,2023-08-09,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00057,001,filters,DBB_AABBOSDA_4_HMGW5DSX3.UDI195.zip,DBB_AABBOSDA_4_1_HMGW5DSX3.UDI195_clean.fastq.gz,DBB_AABBOSDA_4_2_HMGW5DSX3.UDI195_clean.fastq.gz,COMPLETED,1.0,2023-08-19,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00065,001,filters,,DBB_AABSOSDA_1_1_HMNJKDSX3.UDI220_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-17,CCMAR,CETA ceta1,,
EMOBON00066,001,filters,,DBB_AABTOSDA_1_1_HMNJKDSX3.UDI232_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-12,CCMAR,CETA cet-gen,,
EMOBON00067,001,filters_blank,,,,,,,,,,
EMOBON00062,001,filters,DBB_AABMOSDA_4_HMGW5DSX3.UDI196.zip,DBB_AABMOSDA_4_1_HMGW5DSX3.UDI196_clean.fastq.gz,DBB_AABMOSDA_4_2_HMGW5DSX3.UDI196_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2025-01-07,CCMAR,UID,,
EMOBON00063,001,filters,DBB_AABNOSDA_4_HMGW5DSX3.UDI208.zip,DBB_AABNOSDA_4_1_HMGW5DSX3.UDI208_clean.fastq.gz,DBB_AABNOSDA_4_2_HMGW5DSX3.UDI208_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2025-01-07,CCMAR,UID,,
EMOBON00064,001,filters_blank,,,,,,,,,,
EMOBON00046,001,filters,,DBB_AACQOSDA_1_1_HMNJKDSX3.UDI270_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta-gen,,
EMOBON00047,001,filters,,DBB_AACROSDA_1_1_HMNJKDSX3.UDI282_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta4,,
EMOBON00045,001,filters,,DBB_AACPOSDA_4_1_HMGW5DSX3.UDI258_clean.fastq.gz,DBB_AACPOSDA_4_2_HMGW5DSX3.UDI258_clean.fastq.gz,COMPLETED,1.0,2024-09-03,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00037,001,filters,,DBB_AACJOSDA_1_1_HMNJKDSX3.UDI281_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-26,CCMAR,CETA ceta2,,
EMOBON00038,001,filters,,DBB_AACKOSDA_1_1_HMNJKDSX3.UDI198_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta2,,
EMOBON00040,001,filters_blank,,,,,,,,,,
EMOBON00035,001,filters,DBB_AABWOSDA_4_HMGW5DSX3.UDI268.zip,DBB_AABWOSDA_4_1_HMGW5DSX3.UDI268_clean.fastq.gz        ,DBB_AABWOSDA_4_2_HMGW5DSX3.UDI268_clean.fastq.gz        ,COMPLETED,develop (3cf3a7d),2025-01-06,CCMAR,CETA ceta1,,
EMOBON00036,001,filters,DBB_AABXOSDA_4_HMGW5DSX3.UDI280.zip,DBB_AABXOSDA_4_1_HMGW5DSX3.UDI280_clean.fastq.gz,DBB_AABXOSDA_4_2_HMGW5DSX3.UDI280_clean.fastq.gz,COMPLETED,1.0,2023-09-05,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00039,001,filters_blank,,,,,,,,,,
EMOBON00043,001,filters,,DBB_AACNOSDA_1_1_HMNJKDSX3.UDI234_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta6,,
EMOBON00044,001,filters,,DBB_AACOOSDA_1_1_HMNJKDSX3.UDI246_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta-gen,,
EMOBON00041,001,filters,,DBB_AACLOSDA_4_1_HMGW5DSX3.UDI210_clean.fastq.gz,DBB_AACLOSDA_4_2_HMGW5DSX3.UDI210_clean.fastq.gz,COMPLETED,1.0,,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00042,001,filters,,DBB_AACMOSDA_4_1_HMGW5DSX3.UDI222_clean.fastq.gz,DBB_AACMOSDA_4_2_HMGW5DSX3.UDI222_clean.fastq.gz,COMPLETED,1.0,2023-08-30,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00015,001,filters,DBB_AAAIOSDA_4_HMGW5DSX3.UDI205.zip,DBB_AAAIOSDA_4_1_HMGW5DSX3.UDI205_clean.fastq.gz,DBB_AAAIOSDA_4_2_HMGW5DSX3.UDI205_clean.fastq.gz,COMPLETED,1.0,2023-11-03,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00016,001,filters,DBB_AAAJOSDA_4_HMGW5DSX3.UDI217.zip,DBB_AAAJOSDA_4_1_HMGW5DSX3.UDI217_clean.fastq.gz,DBB_AAAJOSDA_4_2_HMGW5DSX3.UDI217_clean.fastq.gz,COMPLETED,1.0,2023-06-27,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00021,001,filters,DBB_AAAQOSDA_4_HMGW5DSX3.UDI277.zip,DBB_AAAQOSDA_4_1_HMGW5DSX3.UDI277_clean.fastq.gz2,DBB_AAAQOSDA_4_2_HMGW5DSX3.UDI277_clean.fastq.gz,COMPLETED,1.0,2023-08-02,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00022,001,filters,DBB_AAAROSDA_1_HMNJKDSX3.UDI194.zip,DBB_AAAROSDA_1_1_HMNJKDSX3.UDI194_clean.fastq.gz,DBB_AAAROSDA_1_2_HMNJKDSX3.UDI194_clean.fastq.gz,COMPLETED,1.0,2025-02-01,HCMR,HCMR-HPC,Meluxina,
EMOBON00019,001,filters,DBB_AAALOSDA_4_HMGW5DSX3.UDI229.zip,DBB_AAALOSDA_4_1_HMGW5DSX3.UDI229_clean.fastq.gz,DBB_AAALOSDA_4_2_HMGW5DSX3.UDI229_clean.fastq.gz,COMPLETED,1.0,2023-06-27,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00020,001,filters,DBB_AAABOSDA_1_HWLTKDRXY.UDI208.zip,DBB_AAABOSDA_1_1_HWLTKDRXY.UDI208_clean.fastq.gz,DBB_AAABOSDA_1_2_HWLTKDRXY.UDI208_clean.fastq.gz,COMPLETED,1.0,2024-02-20,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00025,001,filters,,DBB_AACCOSDA_1_1_HMNJKDSX3.UDI209_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-12,CCMAR,CETA ceta5,,
EMOBON00026,001,filters,DBB_AAACOSDA_1_HWLTKDRXY.UDI209.zip,DBB_AAACOSDA_1_1_HWLTKDRXY.UDI209_clean.fastq.gz,DBB_AAACOSDA_1_2_HWLTKDRXY.UDI209_clean.fastq.gz,COMPLETED,1.0,2023-06-06,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00023,001,filters,DBB_AACAOSDA_4_HMGW5DSX3.UDI197.zip,DBB_AACAOSDA_4_1_HMGW5DSX3.UDI197_clean.fastq.gz,DBB_AACAOSDA_4_2_HMGW5DSX3.UDI197_clean.fastq.gz,COMPLETED,1.0,2023-09-05,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00024,001,filters,DBB_AACBOSDA_4_HMGW5DSX3.UDI239.zip,DBB_AACBOSDA_4_1_HMGW5DSX3.UDI239_clean.fastq.gz,DBB_AACBOSDA_4_2_HMGW5DSX3.UDI239_clean.fastq.gz,COMPLETED,1.0,2023-09-20,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00029,001,filters,,DBB_AABUOSDA_1_1_HMNJKDSX3.UDI244_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-12,CCMAR,CETA ceta4,,
EMOBON00030,001,filters,DBB_AABVOSDA_1_HMNJKDSX3.UDI256.zip,DBB_AABVOSDA_1_1_HMNJKDSX3.UDI256_clean.fastq.gz,DBB_AABVOSDA_1_2_HMNJKDSX3.UDI256_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2025-01-09,CCMAR,CETA,,
EMOBON00027,001,filters,DBB_AACDOSDA_4_HMGW5DSX3.UDI240.zip,DBB_AACDOSDA_4_1_HMGW5DSX3.UDI240_clean.fastq.gz,DBB_AACDOSDA_4_2_HMGW5DSX3.UDI240_clean.fastq.gz,COMPLETED,1.0,2023-09-20,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00028,001,filters,DBB_AAADOSDA_1_HWLTKDRXY.UDI210.zip,DBB_AAADOSDA_1_1_HWLTKDRXY.UDI210_clean.fastq.gz,DBB_AAADOSDA_1_2_HWLTKDRXY.UDI210_clean.fastq.gz,COMPLETED,1.0,2023-06-07,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00017,001,filters,,,,,,,,,,
EMOBON00018,001,filters,,,,,,,,,,
EMOBON00052,001,filters,,,,,,,,,,
EMOBON00059,001,filters,,,,,,,,,,
EMOBON00060,001,filters,,,,,,,,,,
EMOBON00069,001,filters,,,,,,,,,,
EMOBON00074,001,filters,,,,,,,,,,
EMOBON00075,001,filters,,,,,,,,,,
EMOBON00077,001,filters,,,,,,,,,,
EMOBON00078,001,filters,,,,,,,,,,
EMOBON00086,001,sediment,,,,,,,,,,
EMOBON00090,001,sediment,,,,,,,,,,
EMOBON00091,001,sediment,,,,,,,,,,
EMOBON00140,002,sediment,,DBH_AAASOSDA_1_1_HCFCYDSX5.UDI138_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),17/05/2024,CCMAR,REDI,,12.0
EMOBON00141,002,sediment,,DBH_AAATOSDA_1_1_HCFCYDSX5.UDI124_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),17/05/2024,CCMAR,CETA,,17.0
EMOBON00142,002,sediment,,DBH_AAAUOSDA_1_1_HCFCYDSX5.UDI139_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),03/06/2024,CCMAR,CETA,,17.0
EMOBON00143,002,sediment,,DBH_AAAVOSDA_1_1_HCFCYDSX5.UDI141_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),03/06/2024,CCMAR,CETA,,13.0
EMOBON00236,002,sediment,,DBH_AABEOSDA_1_1_HCFCYDSX5.UDI133_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),17/07/2024,CCMAR,REDI,,28.0
EMOBON00237,002,sediment,,DBH_AABFOSDA_1_1_HCFCYDSX5.UDI134_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),11/06/2024,CCMAR,CETA,,22.0
EMOBON00238,002,sediment,,DBH_AABGOSDA_1_1_HCFCYDSX5.UDI135_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),23/05/2024,CCMAR,REDI,,27.0
EMOBON00239,002,sediment,,DBH_AABHOSDA_1_1_HCFCYDSX5.UDI136_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),03/06/2024,CCMAR,REDI,,20.0
EMOBON00242,002,sediment,,DBH_AABKOSDA_1_1_HCFCYDSX5.UDI140_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),28/06/2024,CCMAR,CETA,,23.0
EMOBON00243,002,sediment,,DBH_AABLOSDA_1_1_HCFCYDSX5.UDI142_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),28/06/2024,CCMAR,CETA,,19.0
EMOBON00224,002,sediment,,DBH_AABAOSDA_1_1_HCFCYDSX5.UDI129_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),12/06/2024,CCMAR,REDI,,18.0
EMOBON00225,002,sediment,,DBH_AABBOSDA_1_1_HCFCYDSX5.UDI130_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),04/06/2024,CCMAR,CETA,,18.0
EMOBON00226,002,sediment,,DBH_AABCOSDA_1_1_HCFCYDSX5.UDI131_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),28/06/2024,CCMAR,REDI,,19.0
EMOBON00227,002,sediment,,DBH_AABDOSDA_1_1_HCFCYDSX5.UDI132_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),28/06/2024,CCMAR,CETA,,21.0
EMOBON00192,002,sediment,,DBH_AAAWOSDA_1_1_HCFCYDSX5.UDI125_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),20/06/2024,CCMAR,CETA,,21.0
EMOBON00193,002,sediment,,DBH_AAAXOSDA_1_1_HCFCYDSX5.UDI126_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),17/05/2024,CCMAR,INCD,,18.0
EMOBON00194,002,sediment,,DBH_AAAYOSDA_1_1_HCFCYDSX5.UDI127_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),03/06/2024,CCMAR,CETA,,23.0
EMOBON00195,002,sediment,,DBH_AAAZOSDA_1_1_HCFCYDSX5.UDI128_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),20/05/2024,CCMAR,CETA,,31.0
EMOBON00164,002,filters,,DBB_AAELOSDA_1_1_HVWGWDSX5.UDI159_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-12,CCMAR,CETA ceta5,,15.0
EMOBON00165,002,filters,,DBB_AAEMOSDA_1_1_HVWGWDSX5.UDI171_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-05,CCMAR,CETA ceta6,,11.0
EMOBON00162,002,filters,,DBB_AAEJOSDA_2_1_HVWGWDSX5.UDI177_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-05,CCMAR,INCD,,10.0
EMOBON00163,002,filters,,DBB_AAEKOSDA_2_1_HVWGWDSX5.UDI214_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-06,CCMAR,INCD,,12.0
EMOBON00168,002,filters,,DBB_AAEPOSDA_1_1_HVWGWDSX5.UDI100_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-12,CCMAR,INCD,,12.0
EMOBON00169,002,filters,,DBB_AAEQOSDA_1_1_HVWGWDSX5.UDI106_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-12,CCMAR,INCD,,12.0
EMOBON00166,002,filters,,DBB_AAENOSDA_2_1_HVWGWDSX5.UDI183_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-12,CCMAR,INCD,,11.0
EMOBON00167,002,filters,,DBB_AAEOOSDA_2_1_HVWGWDSX5.UDI189_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-08-12,CCMAR,INCD,,16.0
EMOBON00132,002,filters,,DBB_AADLOSDA_1_1_HVWGWDSX5.UDI169_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-08,CCMAR,CETA2,,13.0
EMOBON00133,002,filters,,DBB_AADMOSDA_1_1_HVWGWDSX5.UDI181_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-09,CCMAR,CETA5,,15.0
EMOBON00130,002,filters,,DBB_AADJOSDA_2_1_HVWGWDSX5.UDI145_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-03,CCMAR,INCD,,12.0
EMOBON00131,002,filters,,DBB_AADKOSDA_2_1_HVWGWDSX5.UDI157_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-08,CCMAR,CETA6,,14.0
EMOBON00138,002,filters,,DBB_AADROSDA_1_1_HVWGWDSX5.UDI212_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-14,CCMAR,INCD,,16.0
EMOBON00139,002,filters,,DBB_AADSOSDA_1_1_HVWGWDSX5.UDI110_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-14,CCMAR,INCD,,15.0
EMOBON00136,002,filters,,DBB_AADPOSDA_2_1_HVWGWDSX5.UDI117_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-10,CCMAR,INCD,,14.0
EMOBON00137,002,filters,,DBB_AADQOSDA_2_1_HVWGWDSX5.UDI098_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-10,CCMAR,INCD,,11.0
EMOBON00146,002,filters,,DBB_AADVOSDA_1_1_HVWGWDSX5.UDI122_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-15,CCMAR,CETA5,,13.0
EMOBON00147,002,filters,,DBB_AADWOSDA_1_1_HVWGWDSX5.UDI134_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-19,CCMAR,INCD,,13.0
EMOBON00144,002,filters,,DBB_AADTOSDA_2_1_HVWGWDSX5.UDI129_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-15,CCMAR,CETA6,,12.0
EMOBON00145,002,filters,,DBB_AADUOSDA_2_1_HVWGWDSX5.UDI141_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-07-15,CCMAR,CETA ceta-gen,,13.0
EMOBON00150,002,filters,,DBB_AADZOSDA_1_1_HVWGWDSX5.UDI146_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-06-18,CCMAR,CETA2,,16.0
EMOBON00151,002,filters,,DBB_AAEAOSDA_1_1_HVWGWDSX5.UDI158_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-06-18,CCMAR,CETA3,,13.0
