ref_code,batch,sample_type,seq_run_ro_crate_fname,forward_read_fname,backward_read_fname,run_status,version,date_started,who,system_run,output_loc,output_size
EMOBON00084,001,sediment,,DBH_AAANOSDA_1_1_HMNJKDSX3.UDI248_clean.fastq.gz,,COMPLETED,1.0,25/09/2023,CCMAR,REDI,,
EMOBON00085,001,sediment,,DBH_AAAOOSDA_1_1_HMNJKDSX3.UDI260_clean.fastq.gz,,COMPLETED,1.0,02/10/2023,CCMAR,REDI,,7.7
EMOBON00087,001,sediment,DBH_AAAIOSDA_1_HMNJKDSX3.UDI224.zip,DBH_AAAIOSDA_1_1_HMNJKDSX3.UDI224_clean.fastq.gz,DBH_AAAIOSDA_1_2_HMNJKDSX3.UDI224_clean.fastq.gz,COMPLETED,1.0,01/06/2023,HCMR,HCMR-HPC,HCMR-HPC,12.0
EMOBON00094,001,sediment,,DBH_AAACOSDA_1_1_HWLTKDRXY.UDI211_clean.fastq.gz,,COMPLETED,1.0,18/07/2023,CCMAR,REDI,,19.0
EMOBON00095,001,sediment,,DBH_AAAFOSDA_1_1_HMNJKDSX3.UDI283_clean.fastq.gz,,COMPLETED,1.0,11/08/2023,CCMAR,REDI,,9.3
EMOBON00097,001,sediment,,DBH_AAAGOSDA_1_1_HMNJKDSX3.UDI200_clean.fastq.gz,,COMPLETED,1.0,18/08/2023,CCMAR,REDI,,9.8
EMOBON00098,001,sediment,,DBH_AAAHOSDA_1_1_HMNJKDSX3.UDI212_clean.fastq.gz,,COMPLETED,1.0,25/08/2023,CCMAR,REDI,,10.0
EMOBON00099,001,sediment_blank,,,,,,,,,,
EMOBON00001,001,sediment,,DBH_AAAAOSDA_1_1_HWLTKDRXY.UDI235_clean.fastq.gz,,COMPLETED,1.0,30/06/2023,CCMAR,REDI,,13.0
EMOBON00092,001,sediment,,DBH_AAALOSDA_1_1_HMNJKDSX3.UDI236_clean.fastq.gz,,COMPLETED,1.0,31/08/2023,CCMAR,REDI,,11.0
EMOBON00093,001,sediment,,DBH_AAAMOSDA_4_1_HMNJKDSX3.UDI250_clean.fastq.gz,,COMPLETED,1.0,13/09/2023,CCMAR,REDI,,8.1
EMOBON00088,001,sediment,,DBH_AAAPOSDA_1_1_HMNJKDSX3.UDI272_clean.fastq.gz,,COMPLETED,1.0,09/10/2023,CCMAR,REDI,,8.7
EMOBON00089,001,sediment,,DBH_AAAQOSDA_1_1_HMNJKDSX3.UDI284_clean.fastq.gz,,COMPLETED,1.0,16/10/2023,CCMAR,REDI,,
EMOBON00050,001,filters,,DBB_AAAUOSDA_1_1_HMNJKDSX3.UDI230_clean.fastq.gz,DBB_AAAUOSDA_1_2_HMNJKDSX3.UDI230_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00051,001,filters,,DBB_AAAVOSDA_1_1_HMNJKDSX3.UDI242_clean.fastq.gz,DBB_AAAVOSDA_1_2_HMNJKDSX3.UDI242_clean.fastq.gz,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00048,001,filters,DBB_AAASOSDA_4_HMGW5DSX3.UDI206.zip,DBB_AAASOSDA_4_1_HMGW5DSX3.UDI206_clean.fastq.gz,DBB_AAASOSDA_4_2_HMGW5DSX3.UDI206_clean.fastq.gz,COMPLETED,1.0,2023-08-02,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00049,001,filters,DBB_AAATOSDA_4_HMGW5DSX3.UDI218.zip,DBB_AAATOSDA_4_1_HMGW5DSX3.UDI218_clean.fastq.gz,DBB_AAATOSDA_4_2_HMGW5DSX3.UDI218_clean.fastq.gz,COMPLETED,1.0,2023-08-09,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00054,001,filters,,DBB_AAAYOSDA_1_1_HMNJKDSX3.UDI254_clean.fastq.gz,DBB_AAAYOSDA_1_2_HMNJKDSX3.UDI254_clean.fastq.gz        ,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00055,001,filters,,DBB_AAAZOSDA_1_1_HMNJKDSX3.UDI266_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2016-12-20,CCMAR,CETA,,
EMOBON00053,001,filters,DBB_AAAXOSDA_4_HMGW5DSX3.UDI227.zip,DBB_AAAXOSDA_4_1_HMGW5DSX3.UDI227_clean.fastq.gz,DBB_AAAXOSDA_4_2_HMGW5DSX3.UDI227_clean.fastq.gz,COMPLETED,1.0,2023-08-09,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00010,001,filters,,DBB_AACVOSDA_1_1_HMNJKDSX3.UDI235_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-14,CCMAR,CETA ceta3,,
EMOBON00009,001,filters,,DBB_AACUOSDA_1_1_HMNJKDSX3.UDI223_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-25,CCMAR,CETA ceta1,,
EMOBON00007,001,filters,,DBB_AACSOSDA_4_1_HMGW5DSX3.UDI199_clean.fastq.gz,DBB_AACSOSDA_4_2_HMGW5DSX3.UDI199_clean.fastq.gz,COMPLETED,1.0,2023-10-03,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00008,001,filters,,DBB_AACTOSDA_4_1_HMGW5DSX3.UDI211_clean.fastq.gz,,COMPLETED,1.0,2024-10-09,HCMR,HCMR-HPC,HCMR-HPC,
EMOBON00013,001,filters,,DBB_AACYOSDA_1_1_HMNJKDSX3.UDI271_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-13,CCMAR,CETA ceta1,,
EMOBON00014,001,filters,,DBB_AACEOSDA_1_1_HMNJKDSX3.UDI221_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-12-02,CCMAR,CETA ceta4,,
EMOBON00011,001,filters,,DBB_AACWOSDA_4_1_HMGW5DSX3.UDI247_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2025-01-09,CCMAR,UID,,
EMOBON00012,001,filters,,DBB_AACXOSDA_4_1_HMGW5DSX3.UDI259_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2025-01-22,CCMAR,UID,,
EMOBON00033,001,filters,,DBB_AACHOSDA_1_1_HMNJKDSX3.UDI257_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-12-02,CCMAR,CETA ceta6,,
EMOBON00034,001,filters,,DBB_AACIOSDA_1_1_HMNJKDSX3.UDI269_clean.fastq.gz,,COMPLETED,develop (3cf3a7d),2024-11-26,CCMAR,CETA ceta-gen,,
